employee_id,institution_id,institution_size,project_id,team_id,manager_id,job_role_id,duration_weeks,relative_effort,team_size,project_complexity,performance_score,predicted_performance_score,performance_class,predicted_performance_class,avg_overall_behavior_rating,overall_behavior_pattern,communication_pattern,collaboration_pattern,leadership_pattern,learning_pattern,productivity_pattern,manager_rating,peer_rating,subordinate_rating,overall_rating_avg,rating_variance,bias_flag,bias_type,fairness_score,text_bias_score,group_bias_score,manager_peer_gap,manager_subordinate_gap,peer_subordinate_gap,performance_rating_gap,behavior_performance_gap,conflict_score,conflict_flag,conflict_type,manager_dominance_score,peer_convergence_score,subordinate_suppression_score,social_protection_score,power_distance_risk_score,power_distance_risk,opinion_dynamics_pattern,culture_pattern,arbitration_decision,final_recommended_score,final_recommended_class,decision_explanation
E011,I01,large,P002,T02,E009,SE,12,220,6,3,61.02,61.59,Medium,Medium,3.733333333,Balanced Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Emerging Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,3.4,4,3.8,3.73,0.09,0,No Major Bias Detected,82.6,0.18,0.07,0.6,0.4,0.2,-13.58,-13.65,18.6,0,No Major Conflict,35.2,53,20.09,15.84,30.65,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,70.78,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 30.65. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E012,I01,large,P002,T02,E009,SE,12,220,6,3,65.55,65.87,Medium,Medium,3.466666667,Learning-Oriented Contributor,Moderate Communication Pattern,Strong Team Collaboration Pattern,Low Leadership Visibility,Active Learning Pattern,Stable Productivity Pattern,3,3.6,3.8,3.47,0.17,1,Possible Textual Subjectivity Bias,69.3,0.45,0.07,0.6,0.8,-0.2,-3.85,-3.78,29.31,1,Manager-Subordinate Conflict; Bias-Linked Conflict,36.86,55,25.03,8.95,32.65,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept with Monitoring,67.82,Medium,Conflict type: Manager-Subordinate Conflict; Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 32.65. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept with Monitoring.
E013,I01,large,P002,T02,E009,QA,12,220,6,3,72.53,71.79,Medium,Medium,3.066666667,Communication Development Required,Communication Improvement Needed,Collaboration Support Needed,Low Leadership Visibility,Moderate Learning Pattern,Stable Productivity Pattern,3.2,3,3,3.07,0.01,1,Possible Textual Subjectivity Bias,83.05,0.4,0.06,-0.2,-0.2,0,11.13,11.2,19.78,0,Bias-Linked Conflict,44.72,52,9.65,0,29.07,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,70.17,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 29.07. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept Evaluation.
E014,I01,large,P002,T02,E009,DevOps,12,220,6,3,62.15,62.67,Medium,Medium,3.866666667,Balanced Contributor,Moderate Communication Pattern,Strong Team Collaboration Pattern,Emerging Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,3.6,4.2,3.8,3.87,0.09,0,No Major Bias Detected,82.05,0.26,0.06,0.6,0.2,0.4,-15.25,-15.18,17.41,0,No Major Conflict,35.2,50,20.28,17.42,30.42,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,72.21,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 30.42. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E015,I02,medium,P003,T03,,PM,8,150,5,3.8,67.12,66.92,Medium,Medium,4.133333333,Balanced Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Strong Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,4.2,4.2,4,4.13,0.01,0,No Major Bias Detected,92.55,0.17,0.02,0,-0.2,0.2,-15.48,-15.55,9.95,0,No Major Conflict,40,49,20.11,9.28,31.32,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,78.41,High,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 31.32. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E016,I02,medium,P003,T03,E015,SE,8,150,5,3.8,67.47,71.93,Medium,Medium,3.666666667,Learning-Oriented Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Emerging Leadership Pattern,Active Learning Pattern,Stable Productivity Pattern,3.8,3.4,3.8,3.67,0.05,1,Possible Textual Subjectivity Bias,79.3,0.5,0.05,-0.4,0,-0.4,-5.93,-5.86,17.95,0,Bias-Linked Conflict,36.8,48,21.24,0.29,29.38,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept Evaluation,72.19,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 29.38. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept Evaluation.
E017,I02,medium,P003,T03,E015,SE,8,150,5,3.8,67.87,66.7,Medium,Medium,2.666666667,Communication Development Required,Communication Improvement Needed,Moderate Collaboration Pattern,Low Leadership Visibility,Active Learning Pattern,Stable Productivity Pattern,2.6,2.8,2.6,2.67,0.01,1,Possible Textual Subjectivity Bias,86.3,0.37,0.03,0.2,0,0.2,14.47,14.54,19.45,0,Bias-Linked Conflict,46.72,49,11.94,1.8,30.4,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,65.75,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 30.4. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept Evaluation.
E018,I02,medium,P003,T03,E015,QA,8,150,5,3.8,58.62,59.87,Medium,Medium,3.333333333,Balanced Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Strong Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,3.4,3,3.6,3.33,0.09,0,No Major Bias Detected,83.6,0.27,0.05,-0.4,0.2,-0.6,-7.98,-8.05,11.8,0,No Major Conflict,36.8,45,17.67,0.76,27.73,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,66.82,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 27.73. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E019,I02,medium,P003,T03,E015,DevOps,8,150,5,3.8,63.53,64.79,Medium,Medium,3.266666667,Communication Development Required,Communication Improvement Needed,Collaboration Support Needed,Emerging Leadership Pattern,Active Learning Pattern,Stable Productivity Pattern,3,3.4,3.4,3.27,0.05,1,Possible Textual Subjectivity Bias,75.75,0.52,0.04,0.4,0.4,0,-1.87,-1.8,19.92,0,Bias-Linked Conflict,37.86,54,17.49,6.06,29.97,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept Evaluation,66.71,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 29.97. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept Evaluation.
E020,I02,medium,P004,T04,,PM,16,300,7,2.7,68.52,69.23,Medium,Medium,3,Teamwork Development Required,Moderate Communication Pattern,Collaboration Support Needed,Strong Leadership Pattern,Active Learning Pattern,Stable Productivity Pattern,3.2,3,2.8,3,0.04,0,No Major Bias Detected,84.45,0.3,0.03,-0.2,-0.4,0.2,8.52,8.52,11.06,0,No Major Conflict,42.31,51,9.73,0,27.98,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,68.3,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 27.98. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E021,I02,medium,P004,T04,E020,SE,16,300,7,2.7,65.18,65.76,Medium,Medium,3.333333333,Teamwork Development Required,Moderate Communication Pattern,Collaboration Support Needed,Low Leadership Visibility,Moderate Learning Pattern,Stable Productivity Pattern,3.6,3,3.4,3.33,0.09,0,No Major Bias Detected,80.8,0.31,0.05,-0.6,-0.2,-0.4,-1.42,-1.49,10.52,0,No Major Conflict,36.75,50,15.15,0,27.5,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,68.89,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 27.5. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E022,I02,medium,P004,T04,E020,SE,16,300,7,2.7,69,69.98,Medium,Medium,3.066666667,Learning-Oriented Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Emerging Leadership Pattern,Active Learning Pattern,Stable Productivity Pattern,2.8,3.2,3.2,3.07,0.05,1,Possible Textual Subjectivity Bias,77.65,0.44,0.06,0.4,0.4,0,7.6,7.67,22.81,0,Bias-Linked Conflict,42.2,54,15.04,3.6,30.6,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept Evaluation,67.67,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 30.6. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept Evaluation.
E023,I02,medium,P004,T04,E020,SE,16,300,7,2.7,79.47,77.07,High,High,3,Technical High Performer,Moderate Communication Pattern,Moderate Collaboration Pattern,Low Leadership Visibility,Active Learning Pattern,High Productivity Pattern,2.8,3,3.2,3,0.04,1,Possible Textual Subjectivity Bias,77.1,0.52,0.06,0.2,0.4,-0.2,19.47,19.47,26.53,1,Bias-Linked Conflict,51.28,51,15.8,1.8,33.87,Low,Manager Dominance / High Power-Distance Pattern,Mixed Culture,Accept with Monitoring,71.21,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Manager Dominance / High Power-Distance Pattern. Power-distance risk is Low with score 33.87. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept with Monitoring.
E024,I02,medium,P004,T04,E020,QA,16,300,7,2.7,66.67,67.46,Medium,Medium,3,Balanced Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Low Leadership Visibility,Moderate Learning Pattern,Stable Productivity Pattern,2.6,3,3.4,3,0.16,0,No Major Bias Detected,74.7,0.34,0.06,0.4,0.8,-0.4,6.67,6.67,18.54,0,Manager-Subordinate Conflict,43.2,52,20.14,3.6,32.49,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept with Monitoring,65.61,Medium,Conflict type: Manager-Subordinate Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 32.49. Bias status: No Major Bias Detected. Final recommendation: Accept with Monitoring.
E025,I02,medium,P004,T04,E020,QA,16,300,7,2.7,65.85,64.33,Medium,Medium,3.666666667,Learning-Oriented Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Low Leadership Visibility,Active Learning Pattern,Stable Productivity Pattern,3.4,4,3.6,3.67,0.09,0,No Major Bias Detected,81.7,0.28,0.05,0.6,0.2,0.4,-7.55,-7.48,13.56,0,No Major Conflict,35.2,50,16.9,13.18,28.81,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,72.02,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 28.81. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E026,I02,medium,P004,T04,E020,DevOps,16,300,7,2.7,61.7,63.57,Medium,Medium,2.933333333,Learning-Oriented Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Low Leadership Visibility,Active Learning Pattern,Stable Productivity Pattern,2,3.4,3.4,2.93,0.65,1,Possible Manager Underrating Bias; High Multi-Source Rating Disagreement,49.65,0.34,0.06,1.4,1.4,0,3.1,3.03,52.54,1,Manager-Peer Conflict; Manager-Subordinate Conflict; Bias-Linked Conflict,35.31,64,29.48,16.06,35.65,Moderate,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Request HR Review,59.07,Medium,Conflict type: Manager-Peer Conflict; Manager-Subordinate Conflict; Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Moderate with score 35.65. Bias status: Possible Manager Underrating Bias; High Multi-Source Rating Disagreement. Final recommendation: Request HR Review.
E027,I03,large,P005,T05,,PM,24,500,10,2.5,65.38,65.53,Medium,Medium,3.466666667,Teamwork Development Required,Moderate Communication Pattern,Collaboration Support Needed,Low Leadership Visibility,Moderate Learning Pattern,Stable Productivity Pattern,3.4,3.4,3.6,3.47,0.01,0,No Major Bias Detected,94.45,0.09,0.04,0,0.2,-0.2,-4.02,-3.95,4.2,0,No Major Conflict,40,49,12.73,1.44,27.95,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,72.79,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 27.95. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E028,I03,large,P005,T05,E027,SE,24,500,10,2.5,68,67.07,Medium,Medium,2.866666667,Learning-Oriented Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Low Leadership Visibility,Active Learning Pattern,Stable Productivity Pattern,2.6,3,3,2.87,0.05,1,Possible Textual Subjectivity Bias,71.35,0.65,0.06,0.4,0.4,0,10.6,10.67,24.31,0,Bias-Linked Conflict,44,54,15.46,3.6,31.47,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept with Monitoring,64.41,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 31.47. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept with Monitoring.
E029,I03,large,P005,T05,E027,SE,24,500,10,2.5,61.93,62.72,Medium,Medium,3.2,Communication Development Required,Communication Improvement Needed,Moderate Collaboration Pattern,Low Leadership Visibility,Low Learning Engagement,Stable Productivity Pattern,3.2,3.6,2.8,3.2,0.16,1,Possible Textual Subjectivity Bias,77.25,0.37,0.05,0.4,-0.4,0.8,-2.07,-2.07,22.24,0,Bias-Linked Conflict,36.8,42,10.53,9.14,25.62,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept Evaluation,65.82,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 25.62. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept Evaluation.
E030,I03,large,P005,T05,E027,SE,24,500,10,2.5,65.97,66.75,Medium,Medium,3.133333333,Communication Development Required,Communication Improvement Needed,Moderate Collaboration Pattern,Low Leadership Visibility,Low Learning Engagement,Stable Productivity Pattern,3.2,3.2,3,3.13,0.01,1,Possible Textual Subjectivity Bias,86.15,0.35,0.06,0,-0.2,0.2,3.37,3.3,13.87,0,Bias-Linked Conflict,41.18,49,7.99,0,26.62,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,68.67,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 26.62. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept Evaluation.
E031,I03,large,P005,T05,E027,SE,24,500,10,2.5,60.25,63.06,Medium,Medium,3.333333333,Teamwork Development Required,Moderate Communication Pattern,Collaboration Support Needed,Low Leadership Visibility,Active Learning Pattern,Stable Productivity Pattern,3,3.8,3.2,3.33,0.17,1,Possible Textual Subjectivity Bias,72.75,0.45,0.06,0.8,0.2,0.6,-6.35,-6.42,26.59,1,Manager-Peer Conflict; Bias-Linked Conflict,33.68,49,14.47,15.86,27.47,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept with Monitoring,65.31,Medium,Conflict type: Manager-Peer Conflict; Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 27.47. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept with Monitoring.
E032,I03,large,P005,T05,E027,SE,24,500,10,2.5,69,67.54,Medium,Medium,3.333333333,Balanced Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Low Leadership Visibility,Moderate Learning Pattern,Stable Productivity Pattern,3.4,3.4,3.2,3.33,0.01,0,No Major Bias Detected,90.9,0.2,0.05,0,-0.2,0.2,2.4,2.33,3.39,0,No Major Conflict,40.6,49,8.11,0,26.43,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,72.44,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 26.43. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E033,I03,large,P005,T05,E027,QA,24,500,10,2.5,64.47,65.11,Medium,Medium,4.133333333,Learning-Oriented Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Strong Leadership Pattern,Active Learning Pattern,Stable Productivity Pattern,3.8,4.4,4.2,4.13,0.09,0,No Major Bias Detected,84.55,0.14,0.04,0.6,0.4,0.2,-18.13,-18.2,20.88,0,No Major Conflict,35.2,53,26.41,18.34,33.11,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,75.75,High,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 33.11. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E034,I03,large,P005,T05,E027,QA,24,500,10,2.5,63.92,64.31,Medium,Medium,3.533333333,Balanced Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Low Leadership Visibility,Moderate Learning Pattern,Stable Productivity Pattern,3.8,3.2,3.6,3.53,0.09,0,No Major Bias Detected,79.65,0.34,0.06,-0.6,-0.2,-0.4,-6.68,-6.75,13.15,0,No Major Conflict,35.2,50,17.62,0.04,27.75,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept Evaluation,69.75,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 27.75. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E035,I03,large,P005,T05,E027,QA,24,500,10,2.5,72.07,72.53,Medium,Medium,3.266666667,Communication Development Required,Communication Improvement Needed,Moderate Collaboration Pattern,Low Leadership Visibility,Active Learning Pattern,Stable Productivity Pattern,3.8,2.8,3.2,3.27,0.25,0,No Major Bias Detected,70.4,0.31,0.05,-1,-0.6,-0.4,6.67,6.74,24.35,0,Manager-Peer Conflict,36.82,54,15.86,0,28.38,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept with Monitoring,69.05,Medium,Conflict type: Manager-Peer Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 28.38. Bias status: No Major Bias Detected. Final recommendation: Accept with Monitoring.
